Yr-rec,Yr-died,SP,TAG,x,y,E,N,FAM,SPECIES,Status 2020,DBH 2020,PM'20,Flag 2020,OBSERVATIONS 2020,DBH 2014,PM'14,FLAG'14,OBS'14,DBH 2009,PM'09,OBS'09
2009,2020,13,414,2.5,9.4,127.5,134.4,MYRI,Otoba parvifolia,D,,,ME,,27.2,1.3,,,27.5,,
2009,2020,13,415,2,10.6,127,135.6,LAUR,Pleurothyrium krukovii,D,,,ME,,11.2,1.3,I,,11.1,1.4,
2009,2014,13,416,3.5,11.5,129,137,PLGN,Triplaris americana,,,,,,,,MU,,11.5,1.4,
2009,,13,417,7.5,9.1,132.5,134.1,LECY,Eschweilera cf andina,A,14.9,1.3,,,14.5,1.3,,,14.1,,
2009,,13,418,8.1,11,133.1,136,MYRI,Otoba parvifolia,A,27.1,1.3,,,26.8,1.3,,,26.6,,
2009,,13,419,8.5,10,133.5,135,CARY,Caryocar amigdaliformis,A,110,1.9,,,109.4,1.9,,,109,1.9,
2009,,13,420,7.8,8,132.8,133,MYRI,Otoba parvifolia,A,19.5,1.3,,,18.9,1.3,,,10.9,,
2009,,13,421,5.8,8.2,130.8,133.2,MYRI,Otoba parvifolia,A,11.9,1.3,,,11.4,1.3,,,10.7,,
2009,2014,13,422,13,7,138,132,AREC,Iriartea deltoidea,,,,,,,,MP,,19.5,2.3,
2009,,13,423,11,5,136,130,AREC,Iriartea deltoidea,A,27.7,1.8,,,27.4,1.8,,,26.7,,
2009,2020,13,424,11.4,4.9,136.4,129.9,LAUR,Nectandra pulverulenta,D,,,MD,,11.8,1.3,,,11.6,,
2009,,13,425,9.8,3.7,134.8,128.7,AREC,Iriartea deltoidea,A,20,1.9,,,19.4,1.9,,,19.2,1.9,
2009,,13,426,8.7,0.5,133.7,125.5,EUPH,Nealchornea yapurensis,A,25.4,1.3,,,23.6,1.3,,,22.2,,
2009,,13,427,10.1,1.5,135.1,126.5,MELI,Guarea gomma,A,20,1.3,,,17.6,1.3,,,16,,
2009,,13,428,15.4,0.7,140.4,125.7,ANNO,Trigynaea duckei,A,15.4,1.3,,,14.6,1.3,I,,14.1,1.4,
2009,,13,429,16.2,3.6,141.2,128.6,MYRI,Otoba parvifolia,A,27.9,1.3,,,26.9,1.3,,,25.4,,
2009,,13,430,18.8,3.5,143.8,128.5,MYRI,Otoba parvifolia,A,29.6,1.3,,,28.5,1.3,,,27.9,,
2009,,13,431,20,1.5,145,126.5,MELI,Guarea gomma,A,17.6,1.3,,,17.4,1.3,I,,17,,
2009,,13,432,21.5,3.2,146.5,128.2,EUPH,Sapium marmieri,A,74.5,1.9,,,70.3,1.9,,,68.9,,
2009,,13,433,23.7,4,148.7,129,MALV,Quararibea wittii,A,24,1.3,,,22.2,1.3,I,,21.6,1.9,
2009,2020,13,434,21,6.9,146,131.9,ANNO,Trigynaea duckei,D,,,MD,,17,1.4,I,,16.7,,
2009,,13,435,21.5,11.2,146.5,136.2,AREC,Iriartea deltoidea,A,19.1,1.5,,,19,1.5,,,18.9,1.5,
2009,,13,436,21,11.2,146,136.2,AREC,Iriartea deltoidea,A,25.3,1.9,,,25,1.9,,,23,1.9,estimado
